epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.025,0.75081,2.1083,1.082,0.97635,0.66986,0.92342,0.75767,0.63419,2.02304,0.94913,0.00040012,0.00040012,0.00040012
2,60.9304,0.78774,1.15146,1.07878,0.60194,0.88396,0.86325,0.60485,0.83832,1.45722,1.11128,0.000798402,0.000798402,0.000798402
3,97.1576,0.78139,1.03267,1.08473,0.46762,0.63043,0.52479,0.3006,1.09984,1.83733,1.30708,0.00118027,0.00118027,0.00118027
4,123.017,0.83409,1.05156,1.0947,0.90426,0.88043,0.9557,0.76617,0.80392,1.14202,1.10105,0.00134412,0.00134412,0.00134412
5,145.145,0.7982,0.98538,1.074,0.81227,0.67792,0.81445,0.56683,0.95369,1.76853,1.23538,0.00131582,0.00131582,0.00131582
6,169.275,0.76553,0.9455,1.06945,0.55827,0.86232,0.71039,0.57171,0.76549,1.38953,1.02398,0.00128753,0.00128753,0.00128753
7,213.959,0.76253,0.86009,1.05948,0.61195,0.69492,0.68801,0.4846,0.97896,1.5371,1.18193,0.00125923,0.00125923,0.00125923
8,237.708,0.7386,0.8779,1.06829,0.70452,0.75284,0.7674,0.60629,0.73455,1.32605,1.03816,0.00123094,0.00123094,0.00123094
9,260.288,0.73738,0.81334,1.03937,0.50789,0.77174,0.65975,0.52634,0.81612,1.76525,1.06977,0.00120265,0.00120265,0.00120265
10,287.127,0.74386,0.81471,1.06009,0.86425,0.73024,0.85556,0.6945,0.71724,0.95106,1.01542,0.00117435,0.00117435,0.00117435
11,312.875,0.69798,0.77893,1.0348,0.9722,0.83159,0.94817,0.78826,0.73466,0.97915,1.04057,0.00114606,0.00114606,0.00114606
12,335.305,0.67278,0.73249,1.03056,0.92322,0.84596,0.94766,0.78396,0.78517,0.99694,1.07344,0.00111776,0.00111776,0.00111776
13,368.165,0.68362,0.71239,1.02631,0.92762,0.8548,0.94796,0.79168,0.82122,0.77756,1.0661,0.00108947,0.00108947,0.00108947
14,395.632,0.70663,0.69981,1.03487,0.98562,0.90547,0.94122,0.79059,0.75856,0.74316,1.03509,0.00106118,0.00106118,0.00106118
15,421.115,0.68912,0.70466,1.04533,0.90307,0.92455,0.95908,0.80947,0.72336,0.7075,0.98233,0.00103288,0.00103288,0.00103288
16,445.381,0.65919,0.66685,1.01772,0.89474,0.97826,0.9787,0.76797,0.74527,0.73908,1.10885,0.00100459,0.00100459,0.00100459
17,472.804,0.64486,0.66151,1.01904,0.95623,0.83328,0.92491,0.7972,0.64605,0.89259,0.99146,0.000976293,0.000976293,0.000976293
18,506.447,0.61347,0.63352,0.99482,0.95622,0.88672,0.97416,0.84948,0.6115,0.58147,0.94886,0.000947999,0.000947999,0.000947999
19,540.315,0.61953,0.62383,1.00415,0.96584,0.94565,0.98729,0.80839,0.78839,0.8121,1.03082,0.000919704,0.000919704,0.000919704
20,599.645,0.61448,0.60537,0.99943,0.86241,0.62681,0.69197,0.57169,0.72599,0.90197,1.03919,0.00089141,0.00089141,0.00089141
21,650.27,0.57963,0.56287,0.99053,0.937,0.5626,0.70434,0.58773,0.78691,0.83943,1.03357,0.000863116,0.000863116,0.000863116
22,681.679,0.61629,0.60208,1.00496,0.97807,0.91627,0.98646,0.83561,0.64022,0.54691,0.95472,0.000834822,0.000834822,0.000834822
23,708.776,0.5819,0.56958,1.00427,0.97442,0.97408,0.99253,0.86635,0.57433,0.53122,0.90489,0.000806528,0.000806528,0.000806528
24,739.501,0.58237,0.56856,1.00695,0.99473,0.99387,0.99496,0.86136,0.60658,0.54433,0.92305,0.000778233,0.000778233,0.000778233
25,766.536,0.57682,0.55237,0.99491,0.99677,0.97446,0.995,0.87035,0.60346,0.53431,0.91192,0.000749939,0.000749939,0.000749939
26,804.316,0.5736,0.53661,0.99017,0.97508,0.93474,0.96413,0.85123,0.57329,0.4665,0.90861,0.000721645,0.000721645,0.000721645
27,836.728,0.58072,0.5326,0.98571,0.86568,0.80578,0.88947,0.77002,0.65956,0.84713,0.9778,0.000693351,0.000693351,0.000693351
28,876.815,0.53444,0.51998,0.97765,0.86805,0.95666,0.96257,0.82456,0.66626,0.54253,0.9738,0.000665057,0.000665057,0.000665057
29,907.971,0.53969,0.50235,0.97876,0.83994,0.92157,0.95247,0.84085,0.57075,0.59933,0.90635,0.000636762,0.000636762,0.000636762
30,939.423,0.54324,0.51232,0.97058,0.93027,0.97852,0.98521,0.85808,0.55963,0.44772,0.89505,0.000608468,0.000608468,0.000608468
31,968.656,0.50823,0.47132,0.97456,0.97871,0.99275,0.99475,0.87656,0.54907,0.42878,0.88778,0.000580174,0.000580174,0.000580174
32,995.15,0.50666,0.45574,0.97183,0.93459,0.95919,0.98475,0.86354,0.57789,0.43195,0.90073,0.00055188,0.00055188,0.00055188
33,1021.61,0.51147,0.4611,0.97692,0.98989,0.95652,0.99182,0.85288,0.56791,0.41567,0.89642,0.000523586,0.000523586,0.000523586
34,1050.82,0.50164,0.46043,0.96554,0.99837,0.99917,0.995,0.86253,0.55695,0.40732,0.89584,0.000495291,0.000495291,0.000495291
35,1080.17,0.48987,0.46583,0.9565,0.96907,0.96504,0.99165,0.87555,0.56145,0.38764,0.90301,0.000466997,0.000466997,0.000466997
36,1106.44,0.48367,0.44212,0.95196,0.95667,0.9332,0.98564,0.84971,0.60041,0.47022,0.91081,0.000438703,0.000438703,0.000438703
37,1140.58,0.50412,0.45649,0.96797,0.86419,0.94412,0.93347,0.84068,0.53229,0.49498,0.87735,0.000410409,0.000410409,0.000410409
38,1171.92,0.46194,0.4328,0.94672,0.92405,0.97134,0.99496,0.88118,0.5641,0.42599,0.89366,0.000382115,0.000382115,0.000382115
39,1205.45,0.47474,0.42857,0.95859,0.98618,0.98755,0.995,0.87063,0.53761,0.38518,0.88984,0.00035382,0.00035382,0.00035382
40,1239.04,0.48132,0.43859,0.96676,0.95869,0.93694,0.99332,0.87471,0.54426,0.42996,0.8918,0.000325526,0.000325526,0.000325526
41,1275.93,0.47454,0.41838,0.96438,0.92817,0.9138,0.98268,0.84983,0.58303,0.49153,0.92169,0.000297232,0.000297232,0.000297232
