epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6231,0.72753,2.58534,1.08356,0.0026,0.21377,0.1743,0.13491,0.61822,2.80292,0.99939,0.00020006,0.00020006,0.00020006
2,43.8778,0.73697,1.34151,1.07383,0.86839,0.62814,0.92329,0.76473,0.73527,2.07606,1.06848,0.000406205,0.000406205,0.000406205
3,57.513,0.7249,0.99264,1.04856,0.99248,0.84474,0.95054,0.78342,0.83632,1.53022,1.12751,0.000603861,0.000603861,0.000603861
4,71.2038,0.70884,0.92733,1.02815,0.85301,0.73551,0.86511,0.59262,0.83326,1.32544,1.17593,0.000793029,0.000793029,0.000793029
5,83.6434,0.67637,0.85939,1.02388,0.65791,0.62634,0.80454,0.62296,0.84548,1.93296,1.13074,0.000973709,0.000973709,0.000973709
6,103.671,0.74064,0.85561,1.05659,0.56479,0.67465,0.59724,0.33409,1.27345,1.59243,1.53285,0.0011459,0.0011459,0.0011459
7,119.992,0.70728,0.84595,1.03643,0.77594,0.78023,0.85723,0.63698,1.02452,1.21918,1.33158,0.00125923,0.00125923,0.00125923
8,137.769,0.77667,0.90228,1.06151,0.83557,0.84948,0.89558,0.61407,1.14358,1.28416,1.48531,0.00123094,0.00123094,0.00123094
9,158.481,0.73432,0.80277,1.02565,0.68326,0.77485,0.70227,0.49393,0.91832,1.54266,1.23304,0.00120265,0.00120265,0.00120265
10,170.661,0.74678,0.80587,1.04668,0.36516,0.5471,0.32843,0.1486,1.64932,2.40909,2.02512,0.00117435,0.00117435,0.00117435
11,185.438,0.70776,0.72913,1.03129,0.60143,0.71262,0.66704,0.43167,1.21548,1.77274,1.45628,0.00114606,0.00114606,0.00114606
12,198.343,0.68659,0.76127,1.02051,0.91024,0.77233,0.89123,0.74927,0.76354,1.03529,1.05763,0.00111776,0.00111776,0.00111776
13,210.701,0.71044,0.7493,1.0306,0.952,0.93172,0.98597,0.69914,0.85778,1.00208,1.13406,0.00108947,0.00108947,0.00108947
14,228.557,0.68965,0.6999,1.03486,0.89263,0.88431,0.95893,0.63441,1.00577,1.10472,1.2356,0.00106118,0.00106118,0.00106118
