epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.728,1.06738,4.12481,1.55843,0.91869,0.02787,0.04859,0.03177,1.08148,6.94262,1.67676,0.000113763,0.000113763,0.000113763
2,458.434,1.04384,3.49992,1.54004,0.59878,0.10286,0.07349,0.04677,1.23912,7.94562,1.8211,0.00021744,0.00021744,0.00021744
3,682.321,1.08407,3.10483,1.55402,0.64425,0.1082,0.0945,0.06022,1.19538,6.38383,1.74074,0.000309731,0.000309731,0.000309731
4,906.575,1.04621,2.9532,1.50466,0.65949,0.13734,0.11891,0.07691,1.20645,6.83889,1.81672,0.000293768,0.000293768,0.000293768
5,1130.18,1.02064,2.73111,1.48096,0.61118,0.14689,0.13624,0.08882,1.15047,5.67258,1.72267,0.00027669,0.00027669,0.00027669
6,1353.55,1.03543,2.61172,1.50284,0.42143,0.20171,0.14465,0.09153,1.19705,6.03628,1.77008,0.000259612,0.000259612,0.000259612
7,1577.88,1.00923,2.50322,1.4721,0.55023,0.21865,0.16806,0.10929,1.15631,6.08756,1.7387,0.000242535,0.000242535,0.000242535
8,1801.29,1.00415,2.42791,1.47219,0.42645,0.22845,0.18167,0.10904,1.21405,5.34658,1.78648,0.000225457,0.000225457,0.000225457
9,2025.68,0.97641,2.36082,1.44338,0.42276,0.23105,0.19923,0.12615,1.15312,5.14131,1.74475,0.00020838,0.00020838,0.00020838
10,2250.98,0.93155,2.22268,1.40435,0.43652,0.2508,0.2306,0.15237,1.10842,5.13374,1.65101,0.000191303,0.000191303,0.000191303
11,2472.97,0.95056,2.75132,1.59613,0.37296,0.26484,0.23593,0.15736,1.10436,5.24347,1.6611,0.000174225,0.000174225,0.000174225
12,2695.09,0.84303,2.45138,1.49792,0.46712,0.26335,0.24298,0.16284,1.12332,4.99871,1.66832,0.000157147,0.000157147,0.000157147
13,2926.86,0.86187,2.34081,1.48805,0.50464,0.28498,0.27418,0.18644,1.08227,5.51628,1.6212,0.00014007,0.00014007,0.00014007
14,3147.3,0.79444,2.26855,1.46506,0.45593,0.29321,0.28194,0.1932,1.07418,4.74284,1.60846,0.000122992,0.000122992,0.000122992
15,3368.33,0.74234,2.14928,1.4135,0.56149,0.26853,0.29781,0.20357,1.04463,4.88587,1.58756,0.000105915,0.000105915,0.000105915
16,3587.94,0.75161,2.09126,1.40058,0.49684,0.29104,0.29994,0.20808,1.05903,4.7087,1.599,8.88375e-05,8.88375e-05,8.88375e-05
17,8931.18,0.73173,2.04832,1.3795,0.48283,0.31958,0.31158,0.22003,1.02343,4.61294,1.56339,7.176e-05,7.176e-05,7.176e-05
18,9168.91,0.72168,1.98459,1.37304,0.48974,0.32759,0.31395,0.2218,1.04112,4.62714,1.56346,5.46825e-05,5.46825e-05,5.46825e-05
19,9395.68,0.71692,1.94576,1.36352,0.55817,0.30249,0.31129,0.22127,1.0307,4.53599,1.55497,3.7605e-05,3.7605e-05,3.7605e-05
20,9621.13,0.66617,1.89594,1.30189,0.53243,0.29373,0.31382,0.21986,1.02014,4.56568,1.55021,2.05275e-05,2.05275e-05,2.05275e-05
