epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88344,1.06753,2.01496,1.31566,0.63208,0.85609,0.88789,0.6258,1.38844,1.31681,1.25063,0,0,0
2,3.33309,0.9326,2.44114,1.32584,0.62413,0.87049,0.88788,0.61087,1.40999,1.333,1.25658,1.07219e-06,1.07219e-06,1.07219e-06
3,4.8257,0.94263,1.99101,1.31512,0.57908,0.83333,0.87182,0.60817,1.43997,1.34954,1.26741,1.90876e-06,1.90876e-06,1.90876e-06
4,6.25182,1.10394,1.84029,1.33264,0.57646,0.83333,0.87195,0.59927,1.46077,1.38861,1.27356,2.50971e-06,2.50971e-06,2.50971e-06
5,7.68589,0.91555,1.65776,1.20716,0.62552,0.83333,0.87228,0.60004,1.47795,1.41586,1.28055,2.87504e-06,2.87504e-06,2.87504e-06
6,9.11724,1.17573,4.08869,1.49136,0.72376,0.75,0.8785,0.61731,1.49163,1.4376,1.28033,3.00475e-06,3.00475e-06,3.00475e-06
7,10.5204,1.06339,1.9819,1.25924,0.75881,0.74743,0.89417,0.62269,1.50353,1.45415,1.28111,2.89884e-06,2.89884e-06,2.89884e-06
8,11.9698,0.83785,1.75194,1.19422,0.72545,0.75,0.89271,0.60978,1.50643,1.51919,1.29236,2.55731e-06,2.55731e-06,2.55731e-06
9,13.5511,1.0933,1.88961,1.26372,0.75362,0.74919,0.89296,0.61401,1.49955,1.50632,1.28949,1.98016e-06,1.98016e-06,1.98016e-06
10,15.0911,1.19318,2.30301,1.49233,0.74477,0.73551,0.8775,0.60966,1.49726,1.52603,1.28592,1.16739e-06,1.16739e-06,1.16739e-06
